Actor: Actor| Total Gross| Number of Movies| Average per Movie| #1 Movie| Gross

Actor: Harrison Ford| 4871.70 | 41| 118.80 | Star Wars: The Force Awakens| 936.70

Actor: Samuel L. Jackson| 4772.80 | 69| 69.20 | The Avengers| 623.40

Actor: Morgan Freeman| 4468.30 | 61| 73.30 | The Dark Knight| 534.90

Actor: Tom Hanks| 4340.80 | 44| 98.70 | Toy Story 3| 415.00

Actor: "Robert Downey|  Jr."| 3947.30 | 53| 74.50 | The Avengers

Actor: Eddie Murphy| 3810.40 | 38| 100.30 | Shrek 2| 441.20

Actor: Tom Cruise| 3587.20 | 36| 99.60 | War of the Worlds| 234.30

Actor: Johnny Depp| 3368.60 | 45| 74.90 | Dead Man's Chest| 423.30

Actor: Michael Caine| 3351.50 | 58| 57.80 | The Dark Knight| 534.90

Actor: Scarlett Johansson| 3341.20 | 37| 90.30 | The Avengers| 623.40

Actor: Gary Oldman| 3294.00 | 38| 86.70 | The Dark Knight| 534.90

Actor: Robin Williams| 3279.30 | 49| 66.90 | Night at the Museum| 250.90

Actor: Bruce Willis| 3189.40 | 60| 53.20 | Sixth Sense| 293.50

Actor: Stellan Skarsgard| 3175.00 | 43| 73.80 | The Avengers| 623.40

Actor: Anthony Daniels| 3162.90 | 7| 451.80 | Star Wars: The Force Awakens| 936.70

Actor: Ian McKellen| 3150.40 | 31| 101.60 | Return of the King| 377.80

Actor: Will Smith| 3149.10 | 24| 131.20 | Independence Day| 306.20

Actor: Stanley Tucci| 3123.90 | 50| 62.50 | Catching Fire| 424.70

Actor: Matt Damon| 3107.30 | 39| 79.70 | The Martian| 228.40

Actor: Robert DeNiro| 3081.30 | 79| 39.00 | Meet the Fockers| 279.30

Actor: Cameron Diaz| 3031.70 | 34| 89.20 | Shrek 2| 441.20

Actor: Liam Neeson| 2942.70 | 63| 46.70 | The Phantom Menace| 474.50

Actor: Andy Serkis| 2890.60 | 23| 125.70 | Star Wars: The Force Awakens| 936.70

Actor: Don Cheadle| 2885.40 | 34| 84.90 | Avengers: Age of Ultron| 459.00

Actor: Ben Stiller| 2827.00 | 37| 76.40 | Meet the Fockers| 279.30

Actor: Helena Bonham Carter| 2822.00 | 36| 78.40 | Harry Potter / Deathly Hallows (P2)| 381.00

Actor: Orlando Bloom| 2815.80 | 17| 165.60 | Dead Man's Chest| 423.30

Actor: Woody Harrelson| 2815.80 | 50| 56.30 | Catching Fire| 424.70

Actor: Cate Blanchett| 2802.60 | 39| 71.90 | Return of the King| 377.80

Actor: Julia Roberts| 2735.30 | 42| 65.10 | Ocean's Eleven| 183.40

Actor: Elizabeth Banks| 2726.30 | 35| 77.90 | Catching Fire| 424.70

Actor: Ralph Fiennes| 2715.30 | 36| 75.40 | Harry Potter / Deathly Hallows (P2)| 381.00

Actor: Emma Watson| 2681.90 | 17| 157.80 | Harry Potter / Deathly Hallows (P2)| 381.00

Actor: Tommy Lee Jones| 2681.30 | 46| 58.30 | Men in Black| 250.70

Actor: Brad Pitt| 2680.90 | 40| 67.00 | World War Z| 202.40

Actor: Adam Sandler| 2661.00 | 32| 83.20 | Hotel Transylvania 2| 169.70

Actor: Daniel Radcliffe| 2634.40 | 17| 155.00 | Harry Potter / Deathly Hallows (P2)| 381.00

Actor: Jonah Hill| 2605.10 | 29| 89.80 | The LEGO Movie| 257.80

Actor: Owen Wilson| 2602.30 | 39| 66.70 | Night at the Museum| 250.90

Actor: Idris Elba| 2580.60 | 26| 99.30 | Avengers: Age of Ultron| 459.00

Actor: Bradley Cooper| 2557.70 | 25| 102.30 | American Sniper| 350.10

Actor: Mark Wahlberg| 2549.80 | 36| 70.80 | Transformers 4| 245.40

Actor: Jim Carrey| 2545.20 | 27| 94.30 | The Grinch| 260.00

Actor: Dustin Hoffman| 2522.10 | 43| 58.70 | Meet the Fockers| 279.30

Actor: Leonardo DiCaprio| 2518.30 | 25| 100.70 | Titanic| 658.70

Actor: Jeremy Renner| 2500.30 | 21| 119.10 | The Avengers| 623.40

Actor: Philip Seymour Hoffman| 2463.70 | 40| 61.60 | Catching Fire| 424.70

Actor: Sandra Bullock| 2462.60 | 35| 70.40 | Minions| 336.00

Actor: Chris Evans| 2457.80 | 23| 106.90 | The Avengers| 623.40

Actor: Anne Hathaway| 2416.50 | 25| 96.70 | The Dark Knight Rises| 448.10

